file_path,file_name,proposed_customer_group_key,proposed_customer_group_name,score,review_reason,method,alternatives,evidence,approval,approved_customer_group_key,review_notes
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\harbro furniture (old orth-a-pedic bedding).xlsx,harbro furniture (old orth-a-pedic bedding).xlsx,,,90,ambiguous,normalized_price_filename,a furniture :: A & A Furniture :: 90 | furniture harbro :: Harbro Furniture :: 90,Price filename stem 'harbro furniture old orth a pedic bedding' scored 90 against customer group 'A & A Furniture'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\house of drapes (old queensland quilting).xlsx,house of drapes (old queensland quilting).xlsx,,,90,ambiguous,normalized_price_filename,drapes house :: House Of Drapes :: 90 | queensland quilting :: Queensland Quilting Co :: 90,Price filename stem 'house of drapes old queensland quilting' scored 90 against customer group 'House Of Drapes'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\hume doors.xlsx,hume doors.xlsx,,,90,ambiguous,normalized_price_filename,aust doors hume timber :: Hume Doors & Timber (Aust) Pty Ltd :: 90 | doors hume sa timber :: Hume Doors & Timber (SA) Pty Ltd :: 90 | doors hume timber :: Hume Doors & Timber Victoria :: 90,Price filename stem 'hume doors' scored 90 against customer group 'Hume Doors & Timber (Aust) Pty Ltd'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\luxor linen ( old wool comfort ).xlsx,luxor linen ( old wool comfort ).xlsx,,,90,ambiguous,normalized_price_filename,linen luxor :: Luxor Linen :: 90 | comfort wool :: Wool Comfort :: 90,Price filename stem 'luxor linen old wool comfort' scored 90 against customer group 'Luxor Linen'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\made to measure mattresses.xlsx,made to measure mattresses.xlsx,,,90,ambiguous,normalized_price_filename,made measure :: Made Measure :: 90 | l made mattresses measure p to :: Made To Measure Mattresses P/L :: 90,Price filename stem 'made to measure mattresses' scored 90 against customer group 'Made Measure'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\mjc sewing machines (old my jean co).xlsx,mjc sewing machines (old my jean co).xlsx,,,90,ambiguous,normalized_price_filename,machines mjc sewing :: MJC Sewing Machines :: 90 | jean my :: My Jean :: 90,Price filename stem 'mjc sewing machines old my jean co' scored 90 against customer group 'MJC Sewing Machines'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\precision foam.xlsx,precision foam.xlsx,,,90,ambiguous,normalized_price_filename,foam industries precision :: Precision Foam Industries Pty Ltd :: 90 | foam manufacturing precision :: Precision Foam Manufacturing :: 90,Price filename stem 'precision foam' scored 90 against customer group 'Precision Foam Industries Pty Ltd'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\prestige bedding (old rest easy).xlsx,prestige bedding (old rest easy).xlsx,,,90,ambiguous,normalized_price_filename,bedding prestige :: Prestige Bedding :: 90 | bedding easy rest :: Rest Easy Bedding :: 90,Price filename stem 'prestige bedding old rest easy' scored 90 against customer group 'Prestige Bedding'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\r & d clothing (old gillknit and heavenly dreams).xlsx,r & d clothing (old gillknit and heavenly dreams).xlsx,,,90,ambiguous,normalized_price_filename,dreams heavenly :: Heavenly Dreams Pty Ltd :: 90 | clothing d r :: R & D Clothing Pty Ltd :: 90,Price filename stem 'r d clothing old gillknit and heavenly dreams' scored 90 against customer group 'Heavenly Dreams Pty Ltd'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\sos shade fabrications (old horizon sails & membranes).xlsx,sos shade fabrications (old horizon sails & membranes).xlsx,,,90,ambiguous,normalized_price_filename,horizon membranes sails :: Horizon Sails & Membranes Pty Ltd :: 90 | fabrications shade sos :: SOS Shade Fabrications :: 90,Price filename stem 'sos shade fabrications old horizon sails membranes' scored 90 against customer group 'Horizon Sails & Membranes Pty Ltd'. | Multiple near-equal candidates require selection.,,,
